DATA;JOGADOR 1;JOGADOR 2;JOGADOR 3;JOGADOR 4;PLACAR DUPLA 1;PLACAR DUPLA 2;BUCHUDA DE Rê?;PONTUAR;PAGADOR1;DEB PAG1;COMP PG1;PAGADOR2;DEB PAG2;COMP PG2
25/02/2025;MOLINHO;PROFESSOR;TATU BOLA;TIA LÈIÄA;2;6;N«O;4;PROFESSOR;$0.00;OK;MOLINHO;$0.00;OK
25/02/2025;PROFESSOR;MESTRE;FRODO COGUMELO;POL÷CIA FEMININA;6;1;N«O;5;POL÷CIA FEMININA;$0.00;OK;FRODO COGUMELO;$0.00;OK
25/02/2025;PROFESSOR;MESTRE;FRODO COGUMELO;POL÷CIA FEMININA;6;0;N«O;7;POL÷CIA FEMININA;$2.00;OK;FRODO COGUMELO;$2.00;OK
04/12/2024;CARCAMANO;÷NDIO;LITR«O;CANTOR;0;7;N«O;8;CARCAMANO;2;OK;÷NDIO;2;OK
04/12/2024;CANTOR;÷NDIO;PROFESSOR;APRENDIZ;0;6;N«O;7;CANTOR;2;OK;÷NDIO;2;OK
11/03/2025;MOLINHO;MESTRE;PROFESSOR;TATU BOLA;0;7;N«O;8;MOLINHO;$2.00;OK;MESTRE;$2.00;OK
20/03/2025;JORNALISTA;CARCAMANO;MOLINHO;MESTRE;6;0;N«O;7;MOLINHO;$2.00;OK;MESTRE;$2.00;OK
18/03/2025;FUMACINHA;TIA LÈIÄA;MOLINHO;MESTRE;6;0;N«O;7;MOLINHO;$2.00;OK;MESTRE;$2.00;OK
08/04/2025;CARCAMANO;FUMACINHA;FRODO COGUMELO;POL÷CIA FEMININA;7;0;N«O;8;POL÷CIA FEMININA;$2.00;OK;FRODO COGUMELO;$2.00;OK
06/05/2025;PROFESSOR;POL÷CIA FEMININA;CARCAMANO;LITR«O;5;6;SIM;8;POL÷CIA FEMININA;$3.00;OK;PROFESSOR;$3.00;OK
14/04/2025;POL÷CIA FEMININA;FRODO COGUMELO;÷NDIO;CARCAMANO;0;6;N«O;7;POL÷CIA FEMININA;$2.00;OK;FRODO COGUMELO;$2.00;OK
18/03/2025;POL÷CIA FEMININA;TIA LÈIÄA;MOLINHO;MESTRE;6;0;N«O;7;MOLINHO;$2.00;OK;MESTRE;$2.00;OK
11/03/2025;PROFESSOR;LITR«O;TATU BOLA;MESTRE;6;0;N«O;7;TATU BOLA;$2.00;OK;MESTRE;$2.00;OK
06/05/2025;PROFESSOR;POL÷CIA FEMININA;CARCAMANO;LITR«O;0;7;N«O;8;POL÷CIA FEMININA;$2.00;OK;PROFESSOR;$2.00;OK
20/05/2025;JORNALISTA;TATU BOLA;÷NDIO;MOLINHO;7;0;N«O;8;÷NDIO;$2.00;OK;MOLINHO;$2.00;OK
17/03/2025;POL÷CIA FEMININA;FUMACINHA;÷NDIO;CARCAMANO;6;0;N«O;7;CARCAMANO;$2.00;OK;÷NDIO;$2.00;OK
27/03/2025;VOV‚;÷NDIO;FUMACINHA;LITR«O;0;6;N«O;7;VOV‚;$2.00;OK;÷NDIO;$2.00;OK
12/05/2025;PROFESSOR;LITR«O;FUMACINHA;APRENDIZ;0;6;N«O;7;LITR«O;$2.00;OK;PROFESSOR;$2.00;OK
14/05/2025;CARCAMANO;APRENDIZ;LITR«O;PROFESSOR;6;0;N«O;7;LITR«O;$2.00;OK;PROFESSOR;$2.00;OK
16/04/2025;VOV‚;FUMACINHA;CARCAMANO;MESTRE;6;0;N«O;7;CARCAMANO;$2.00;OK;MESTRE;$2.00;OK
12/05/2025;PROFESSOR;LITR«O;FUMACINHA;APRENDIZ;5;7;SIM;9;LITR«O;$3.00;OK;PROFESSOR;$3.00;OK
16/04/2025;JORNALISTA;÷NDIO;LITR«O;FUMACINHA;0;6;N«O;7;JORNALISTA;$2.00;OK;÷NDIO;$2.00;OK
11/03/2025;MOLINHO;MESTRE;PROFESSOR;LITR«O;6;0;N«O;7;LITR«O;$2.00;OK;PROFESSOR;$2.00;OK
16/04/2025;PROFESSOR;JAPON“S;VOV‚;FUMACINHA;0;7;N«O;8;PROFESSOR;$2.00;OK;JAPON“S;$2.00;OK
10/04/2025;JORNALISTA;CARCAMANO;LITR«O;FUMACINHA;0;6;N«O;7;JORNALISTA;$2.00;OK;CARCAMANO;$2.00;OK
13/03/2025;POL÷CIA FEMININA;FUMACINHA;VOV‚;FRODO COGUMELO;6;0;N«O;7;VOV‚;$2.00;OK;FRODO COGUMELO;$2.00;OK
19/03/2025;JORNALISTA;CARCAMANO;LITR«O;FUMACINHA;0;6;N«O;7;JORNALISTA;$2.00;OK;CARCAMANO;$2.00;OK
04/04/2025;MESTRE;PROFESSOR;JORNALISTA;LITR«O;0;6;N«O;7;PROFESSOR;$2.00;OK;MESTRE;$2.00;OK
28/03/2025;÷NDIO;FUMACINHA;PROFESSOR;JAPON“S;6;0;N«O;7;PROFESSOR;$2.00;OK;JAPON“S;$2.00;OK
07/04/2025;PROFESSOR;CANTOR;JORNALISTA;CARCAMANO;6;0;N«O;7;JORNALISTA;$2.00;OK;CARCAMANO;$2.00;OK
02/04/2025;JORNALISTA;CARCAMANO;VOV‚;÷NDIO;0;6;N«O;7;JORNALISTA;$2.00;OK;CARCAMANO;$2.00;OK
05/05/2025;PROFESSOR;CARCAMANO;MESTRE;SEM PRESSA;0;6;N«O;7;CARCAMANO;$2.00;OK;PROFESSOR;$2.00;OK
22/04/2025;JORNALISTA;CARCAMANO;PROFESSOR;FUMACINHA;0;7;N«O;8;JORNALISTA;$2.00;OK;CARCAMANO;$2.00;OK
14/05/2025;CARCAMANO;APRENDIZ;LITR«O;PROFESSOR;6;0;N«O;7;LITR«O;$2.00;OK;PROFESSOR;$2.00;OK
14/05/2025;PROFESSOR;TATU BOLA;CANTOR;SEM PRESSA;0;6;N«O;7;PROFESSOR;$2.00;OK;TATU BOLA;$2.00;OK
24/03/2025;JORNALISTA;CARCAMANO;PROFESSOR;FUMACINHA;0;6;N«O;7;JORNALISTA;$2.00;OK;CARCAMANO;$2.00;OK
12/05/2025;PROFESSOR;LITR«O;FUMACINHA;APRENDIZ;0;7;N«O;8;LITR«O;$2.00;OK;PROFESSOR;$2.00;OK
28/09/2023;VOV‚;JOGADOR N«O MEMBRO;CARCAMANO;÷NDIO;6;0;N«O;7;CARCAMANO;2;OK;÷NDIO;2;OK
11/07/2023;JOGADOR N«O MEMBRO;CARCAMANO;JAPON“S;TIA LÈIÄA;6;0;N«O;7;JAPON“S;2;OK;TIA LÈIÄA;2;OK
03/10/2023;MOLINHO;TIA LÈIÄA;CARCAMANO;JAPON“S;0;6;N«O;7;MOLINHO;2;OK;TIA LÈIÄA;2;OK
20/07/2023;TATU BOLA;TIA LÈIÄA;FANTASMA;CARCAMANO;4;6;SIM;8;TATU BOLA;3;OK;TIA LÈIÄA;3;OK
25/07/2023;VOV‚;FANTASMA;TATU BOLA;TIA LÈIÄA;6;0;N«O;7;TATU BOLA;2;OK;TIA LÈIÄA;2;OK
24/07/2023;÷NDIO;JOGADOR N«O MEMBRO;MESTRE;TIA LÈIÄA;6;0;N«O;7;MESTRE;2;OK;TIA LÈIÄA;2;OK
09/05/2024;APRENDIZ;CARCAMANO;LITR«O;TIA LÈIÄA;0;6;N«O;7;APRENDIZ;2;OK;CARCAMANO;2;OK
21/05/2024;JOGADOR N«O MEMBRO;FUMACINHA;LITR«O;CARCAMANO;6;0;N«O;7;LITR«O;2;OK;CARCAMANO;2;OK
19/12/2024;JORNALISTA;SEM PRESSA;VOV‚;FUMACINHA;6;0;N«O;7;VOV‚;2;OK;FUMACINHA;2;OK
18/12/2024;JORNALISTA;FUMACINHA;VOV‚;TATU BOLA;0;7;N«O;8;JORNALISTA;2;OK;FUMACINHA;2;OK
12/12/2024;JORNALISTA;APRENDIZ;PROFESSOR;FUMACINHA;6;0;N«O;7;PROFESSOR;2;OK;FUMACINHA;2;OK
17/12/2024;JORNALISTA;FUMACINHA;CANTOR;XAM«;0;6;N«O;7;JORNALISTA;2;OK;FUMACINHA;2;OK
26/12/2024;VOV‚;÷NDIO;CANTOR;FUMACINHA;6;0;N«O;7;CANTOR;2;OK;FUMACINHA;2;OK
01/11/2024;DISC÷PULO;TIA LÈIÄA;MESTRE;JAPON“S;7;0;N«O;8;MESTRE;2;OK;JAPON“S;2;OK
30/12/2024;JORNALISTA;PROFESSOR;CARCAMANO;JAPON“S;8;5;SIM;10;CARCAMANO;3;OK;JAPON“S;3;OK
04/12/2024;VOV‚;FUMACINHA;PROFESSOR;APRENDIZ;0;8;N«O;9;VOV‚;2;OK;FUMACINHA;2;OK
05/12/2024;JOGADOR N«O MEMBRO;FUMACINHA;TATU BOLA;APRENDIZ;0;9;N«O;10;JOGADOR N«O MEMBRO;2;;FUMACINHA;2;OK
02/09/2024;JORNALISTA;JOGADOR N«O MEMBRO;CARCAMANO;÷NDIO;0;6;N«O;7;JORNALISTA;2;OK;JOGADOR N«O MEMBRO;2;OK
